n_chains,eps_AB,delta_eps,q_peak,lag_time,F_psi_mean,F_psi_sem
144,1,0,0.2855993321,685,0.898600597,0.01742363965
144,1,0,0.2855993321,687.5,0.8982845236,0.01747519342
144,1,0,0.2855993321,690,0.8979842507,0.01753312319
144,1,0,0.2855993321,692.5,0.8977007395,0.01760087439
144,1,0,0.2855993321,695,0.8974024796,0.01767119425
144,1,0,0.2855993321,697.5,0.8971202907,0.01772991921
144,1,0,0.2855993321,700,0.8968204795,0.01779812801
144,1,0,0.2855993321,702.5,0.8965063623,0.01786504708
144,1,0,0.2855993321,705,0.8962135869,0.01791492953
144,1,0,0.2855993321,707.5,0.8959342165,0.01796589556
144,1,0,0.2855993321,710,0.8956403955,0.01802262673
144,1,0,0.2855993321,712.5,0.8953515119,0.01808271012
144,1,0,0.2855993321,715,0.8950724724,0.01813701114
144,1,0,0.2855993321,717.5,0.8948316931,0.0181789952
144,1,0,0.2855993321,720,0.8945869704,0.0182204841
144,1,0,0.2855993321,722.5,0.8943428244,0.01825692387
144,1,0,0.2855993321,725,0.8941013536,0.01827137026
144,1,0,0.2855993321,727.5,0.8938451375,0.01829680641
144,1,0,0.2855993321,730,0.8935981061,0.01830045508
144,1,0,0.2855993321,732.5,0.8933625278,0.01830829987
144,1,0,0.2855993321,735,0.8931195465,0.01832312687
144,1,0,0.2855993321,737.5,0.8928790038,0.01833384541
144,1,0,0.2855993321,740,0.8926520307,0.01834318011
144,1,0,0.2855993321,742.5,0.8924169327,0.01835687671
144,1,0,0.2855993321,745,0.892175591,0.01837555557
144,1,0,0.2855993321,747.5,0.8919603024,0.01838268875
144,1,0,0.2855993321,750,0.8917495302,0.01838927837
144,1,0,0.2855993321,752.5,0.8915605419,0.01839285626
144,1,0,0.2855993321,755,0.8913645996,0.01839223234
144,1,0,0.2855993321,757.5,0.8911620064,0.01838371626
144,1,0,0.2855993321,760,0.8909473939,0.01837970177
144,1,0,0.2855993321,762.5,0.8907295929,0.01839759795
144,1,0,0.2855993321,765,0.8905187074,0.01839387555
144,1,0,0.2855993321,767.5,0.8903213208,0.01840774893
144,1,0,0.2855993321,770,0.8901358797,0.0184143992
144,1,0,0.2855993321,772.5,0.8899092197,0.01841521969
144,1,0,0.2855993321,775,0.8896759278,0.01843015425
144,1,0,0.2855993321,777.5,0.8894232035,0.01844833943
144,1,0,0.2855993321,780,0.8891757676,0.0184750026
144,1,0,0.2855993321,782.5,0.8889078393,0.01850480954
144,1,0,0.2855993321,785,0.8886565269,0.01852776477
144,1,0,0.2855993321,787.5,0.8884264493,0.01854080229
144,1,0,0.2855993321,790,0.8882023961,0.01855756124
144,1,0,0.2855993321,792.5,0.8879883052,0.01858023698
144,1,0,0.2855993321,795,0.887756614,0.01860551099
144,1,0,0.2855993321,797.5,0.8875070369,0.01863125687
144,1,0,0.2855993321,800,0.8872534721,0.01866414373
144,1,0,0.2855993321,802.5,0.8869629482,0.01869459199
144,1,0,0.2855993321,805,0.8866834018,0.0187138161
144,1,0,0.2855993321,807.5,0.8863932303,0.0187397474
144,1,0,0.2855993321,810,0.8861372677,0.01876135557
144,1,0,0.2855993321,812.5,0.8858495805,0.01877855184
144,1,0,0.2855993321,815,0.8855727047,0.01877849731
144,1,0,0.2855993321,817.5,0.8852981665,0.01878568945
144,1,0,0.2855993321,820,0.8850237131,0.01879616269
144,1,0,0.2855993321,822.5,0.8847719456,0.01880827637
144,1,0,0.2855993321,825,0.8845093049,0.01881455772
144,1,0,0.2855993321,827.5,0.8842220121,0.01881773255
144,1,0,0.2855993321,830,0.8839326481,0.01883866177
144,1,0,0.2855993321,832.5,0.8836369259,0.0188595208
144,1,0,0.2855993321,835,0.8833718132,0.0188669407
144,1,0,0.2855993321,837.5,0.8830814714,0.01889388413
144,1,0,0.2855993321,840,0.8828382692,0.01889841373
144,1,0,0.2855993321,842.5,0.8826217484,0.0188802693
144,1,0,0.2855993321,845,0.8823918857,0.01888552269
144,1,0,0.2855993321,847.5,0.8821559117,0.01887682015
144,1,0,0.2855993321,850,0.8819154381,0.01886466005
144,1,0,0.2855993321,852.5,0.8817061879,0.01884955251
144,1,0,0.2855993321,855,0.8814667679,0.01883287936
144,1,0,0.2855993321,857.5,0.8812335328,0.01880845156
144,1,0,0.2855993321,860,0.8810306398,0.01878550593
144,1,0,0.2855993321,862.5,0.8808089785,0.01876438885
144,1,0,0.2855993321,865,0.8805869357,0.0187368821
144,1,0,0.2855993321,867.5,0.8803705755,0.01871774536
144,1,0,0.2855993321,870,0.8801592914,0.0187056791
144,1,0,0.2855993321,872.5,0.8799660166,0.01868741321
144,1,0,0.2855993321,875,0.8797535292,0.01866139434
144,1,0,0.2855993321,877.5,0.87955442,0.01861930937
144,1,0,0.2855993321,880,0.8793447472,0.01856143756
144,1,0,0.2855993321,882.5,0.8791404362,0.01851200167
144,1,0,0.2855993321,885,0.8788958059,0.01846607356
144,1,0,0.2855993321,887.5,0.8786398504,0.01843043701
144,1,0,0.2855993321,890,0.8783964457,0.01839451721
144,1,0,0.2855993321,892.5,0.8781415836,0.0183642946
144,1,0,0.2855993321,895,0.8779019424,0.01833145014
144,1,0,0.2855993321,897.5,0.8776611626,0.0182956285
144,1,0,0.2855993321,900,0.877405653,0.01826016688
144,1,0,0.2855993321,902.5,0.877142009,0.01822116434
144,1,0,0.2855993321,905,0.8768863957,0.01817748965
144,1,0,0.2855993321,907.5,0.8766075355,0.01814842945
144,1,0,0.2855993321,910,0.8763445448,0.0181205083
144,1,0,0.2855993321,912.5,0.876066417,0.0180988798
144,1,0,0.2855993321,915,0.8757787371,0.01807203847
144,1,0,0.2855993321,917.5,0.8754945091,0.01804905638
144,1,0,0.2855993321,920,0.8751842885,0.01804314008
144,1,0,0.2855993321,922.5,0.8749219062,0.01803040482
144,1,0,0.2855993321,925,0.8746454133,0.01800033593
144,1,0,0.2855993321,927.5,0.8743442369,0.01796687785
144,1,0,0.2855993321,930,0.8740306432,0.0179244818
144,1,0,0.2855993321,932.5,0.8737286693,0.01789039354
144,1,0,0.2855993321,935,0.8734221771,0.01786963021
144,1,0,0.2855993321,937.5,0.8731319117,0.01784182988
144,1,0,0.2855993321,940,0.8728460187,0.0178338936
144,1,0,0.2855993321,942.5,0.8725763549,0.01780758912
144,1,0,0.2855993321,945,0.8723019051,0.01778338689
144,1,0,0.2855993321,947.5,0.8720260861,0.01776153438
144,1,0,0.2855993321,950,0.8717462658,0.01774650118
144,1,0,0.2855993321,952.5,0.8714629335,0.01773786217
144,1,0,0.2855993321,955,0.8711827697,0.01772157314
144,1,0,0.2855993321,957.5,0.870876967,0.01770123481
144,1,0,0.2855993321,960,0.8705822907,0.01768888882
144,1,0,0.2855993321,962.5,0.8702713117,0.01768667949
144,1,0,0.2855993321,965,0.8699778067,0.01768740754
144,1,0,0.2855993321,967.5,0.8696921979,0.01767319662
144,1,0,0.2855993321,970,0.8694131741,0.01764899925
144,1,0,0.2855993321,972.5,0.8691435235,0.01763675259
144,1,0,0.2855993321,975,0.8688821693,0.01761957607
144,1,0,0.2855993321,977.5,0.8686277197,0.01759912317
144,1,0,0.2855993321,980,0.8684030174,0.01757037428
144,1,0,0.2855993321,982.5,0.8681674569,0.01754121587
144,1,0,0.2855993321,985,0.8679050172,0.01752478018
144,1,0,0.2855993321,987.5,0.8676764469,0.01749942933
144,1,0,0.2855993321,990,0.8674498311,0.01749101419
144,1,0,0.2855993321,992.5,0.8672067823,0.01748679638
144,1,0,0.2855993321,995,0.8669700032,0.0174737838
144,1,0,0.2855993321,997.5,0.8667378402,0.01746552557
144,1,0,0.2855993321,1000,0.8664966565,0.01745175413
144,1,0,0.2855993321,1002.5,0.8662345152,0.01742952277
144,1,0,0.2855993321,1005,0.8659787565,0.01742945283
144,1,0,0.2855993321,1007.5,0.8657613566,0.0173974183
144,1,0,0.2855993321,1010,0.8655216461,0.01736154286
