n_chains,eps_AB,delta_eps,shell_q,S_psi_mean,S_psi_sem
144,0.725,0.275,1.308780558,2.511819405,0.0980228219
144,0.725,0.275,1.339579608,2.166386926,0.1548118911
144,0.725,0.275,1.399145269,2.100203963,0.1377242914
144,0.725,0.275,1.427996661,1.803082513,0.1623199162
144,0.725,0.275,1.456276568,1.835254283,0.1286693194
144,0.725,0.275,1.484017662,1.683895985,0.1316461598
144,0.7,0.3,0.2855993321,14.20139545,2.300099898
144,0.7,0.3,0.4038984489,24.01152508,1.298906123
144,0.7,0.3,0.4946725539,16.80646322,3.112501935
144,0.7,0.3,0.5711986643,25.34129099,6.148617494
144,0.7,0.3,0.638619521,19.07969458,1.919441669
144,0.7,0.3,0.6995726346,16.60478893,1.678400438
144,0.7,0.3,0.8077968978,13.67049869,1.95707483
144,0.7,0.3,0.8567979964,10.75498269,0.5956209298
144,0.7,0.3,0.9031443878,9.861382421,1.32837518
144,0.7,0.3,0.9472258251,7.588571356,0.5066904821
144,0.7,0.3,0.9893451078,8.201329531,0.5881713183
144,0.7,0.3,1.029743036,6.320482263,0.3174594524
144,0.7,0.3,1.068614851,5.377850066,0.1449642268
144,0.7,0.3,1.142397329,3.306285633,0.3784788359
144,0.7,0.3,1.177556213,3.886011182,0.2871214072
144,0.7,0.3,1.211695347,3.272715896,0.1963049273
144,0.7,0.3,1.244898627,2.905705964,0.3131299387
144,0.7,0.3,1.277239042,2.616236596,0.05351690821
144,0.7,0.3,1.308780558,2.614294861,0.197710114
144,0.7,0.3,1.339579608,2.367064716,0.1885038378
144,0.7,0.3,1.399145269,2.015523895,0.1471495921
144,0.7,0.3,1.427996661,1.883063972,0.1450549938
144,0.7,0.3,1.456276568,1.868481056,0.04951992906
144,0.7,0.3,1.484017662,1.675046119,0.09237338322
144,0.675,0.325,0.2855993321,19.38203861,4.877531547
144,0.675,0.325,0.4038984489,21.44948161,0.8774758134
144,0.675,0.325,0.4946725539,23.05798714,4.011643822
144,0.675,0.325,0.5711986643,28.49982294,4.200365636
144,0.675,0.325,0.638619521,24.23621775,2.221587375
144,0.675,0.325,0.6995726346,20.99204745,1.766723277
144,0.675,0.325,0.8077968978,14.2414169,3.934289835
144,0.675,0.325,0.8567979964,9.881617988,0.9405353423
144,0.675,0.325,0.9031443878,9.570071406,0.7749346043
144,0.675,0.325,0.9472258251,8.507291643,0.9425830444
144,0.675,0.325,0.9893451078,7.168902676,0.8458714522
144,0.675,0.325,1.029743036,5.34530124,0.5473821164
