n_chains,eps_AB,delta_eps,shell_q,tau_psi_mean,tau_psi_sem
144,0.45,0.55,0.2855993321,,
144,0.45,0.55,0.4038984489,,
144,0.45,0.55,0.4946725539,,
144,0.45,0.55,0.5711986643,,
144,0.45,0.55,0.638619521,,
144,0.45,0.55,0.6995726346,,
144,0.45,0.55,0.8077968978,,
144,0.45,0.55,0.8567979964,,
144,0.45,0.55,0.9031443878,,
144,0.45,0.55,0.9472258251,,
144,0.45,0.55,0.9893451078,,
144,0.45,0.55,1.029743036,,
144,0.45,0.55,1.068614851,,
144,0.45,0.55,1.142397329,282.0783808,
144,0.45,0.55,1.177556213,,
144,0.45,0.55,1.211695347,,
144,0.45,0.55,1.244898627,,
144,0.45,0.55,1.277239042,279.6142966,2.579690321
144,0.45,0.55,1.308780558,184.1923139,8.285688425
144,0.45,0.55,1.339579608,258.0340132,26.27661412
144,0.45,0.55,1.399145269,200.6755352,14.80974574
144,0.45,0.55,1.427996661,161.1488372,35.71707632
144,0.45,0.55,1.456276568,197.5270734,38.04943929
144,0.45,0.55,1.484017662,166.8850833,38.45959544
144,0.425,0.575,0.2855993321,,
144,0.425,0.575,0.4038984489,,
144,0.425,0.575,0.4946725539,,
144,0.425,0.575,0.5711986643,,
144,0.425,0.575,0.638619521,,
144,0.425,0.575,0.6995726346,,
144,0.425,0.575,0.8077968978,,
144,0.425,0.575,0.8567979964,,
144,0.425,0.575,0.9031443878,,
144,0.425,0.575,0.9472258251,,
144,0.425,0.575,0.9893451078,,
144,0.425,0.575,1.029743036,,
144,0.425,0.575,1.068614851,,
144,0.425,0.575,1.142397329,215.7523279,28.33115916
144,0.425,0.575,1.177556213,,
144,0.425,0.575,1.211695347,164.2744064,
144,0.425,0.575,1.244898627,,
144,0.425,0.575,1.277239042,247.5640564,1.289511826
144,0.425,0.575,1.308780558,287.5731158,
144,0.425,0.575,1.339579608,209.6901023,28.04134335
144,0.425,0.575,1.399145269,137.7261897,16.45002812
144,0.425,0.575,1.427996661,237.1628233,12.14211065
144,0.425,0.575,1.456276568,146.5662388,8.371601901
144,0.425,0.575,1.484017662,179.8933349,14.82276145
144,0.4,0.6,0.2855993321,,
144,0.4,0.6,0.4038984489,,
