run_index,run_id,n_chains,kappa,pi,seed,shell_index,shell_n2,degeneracy,q,q_units,S_AA,S_BB,S_AB,S_CC,S_psi_psi_over_2,S_psi_psi_over_2_early,S_psi_psi_over_2_early_to_final_change,S_psi_psi_over_2_final_window_slope_per_step,diagnostic_AA_minus_AB
12,M0288_N40_kappa0_pi0p990_seed3,288,0,0.98999999999999999,3,4,5,24,0.50687264972435242,nm^-1,1.9340777938006408,1.6635637029170287,0.21620686361410524,3.1652277694894586,1.5826138847447293,1.352373295442278,0.23024058930245128,1.2554389901904392e-05,1.7178709301865356
12,M0288_N40_kappa0_pi0p990_seed3,288,0,0.98999999999999999,3,5,6,24,0.55525116807288499,nm^-1,2.8405026822830459,2.6058266651232547,0.95430415481077713,3.5377210377847463,1.7688605188923732,1.5335374731752602,0.23532304571711293,-1.2974247533993934e-05,1.8861985274722688
12,M0288_N40_kappa0_pi0p990_seed3,288,0,0.98999999999999999,3,6,8,12,0.64114882270946871,nm^-1,1.4633692657863884,2.4542982524610193,0.28452466998796455,3.3486181782714781,1.6743090891357391,1.5098153035593858,0.1644937855763533,5.4076073479466484e-05,1.1788445957984237
12,M0288_N40_kappa0_pi0p990_seed3,288,0,0.98999999999999999,3,7,9,30,0.6800410204314552,nm^-1,1.8664924087496513,2.6488284888705516,-0.084221689918836967,4.6837642774578772,2.3418821387289386,2.4819649366533465,-0.14008279792440792,-2.9927412092450414e-05,1.9507140986684883
12,M0288_N40_kappa0_pi0p990_seed3,288,0,0.98999999999999999,3,8,10,24,0.71682617563616646,nm^-1,2.0277470241399103,3.3854898487581577,-0.94231493275823319,7.2978667384145357,3.6489333692072679,3.7247846898310661,-0.075851320623798291,2.2023619688776217e-05,2.9700619568981432
12,M0288_N40_kappa0_pi0p990_seed3,288,0,0.98999999999999999,3,9,11,24,0.75181363560718251,nm^-1,2.2939445722984582,2.3613772322166917,-1.240060378668151,7.1354425618514528,3.5677212809257264,3.8814382610926872,-0.31371698016696081,-3.6049508621983886e-05,3.5340049509666089
12,M0288_N40_kappa0_pi0p990_seed3,288,0,0.98999999999999999,3,10,12,8,0.78524373241217693,nm^-1,3.7173035097028602,3.663979080612608,-2.5775192823811897,12.536321155077847,6.2681605775389233,4.6038222012405834,1.6643383762983399,6.5175880430593677e-05,6.2948227920840498
12,M0288_N40_kappa0_pi0p990_seed3,288,0,0.98999999999999999,3,11,13,24,0.81730758952815541,nm^-1,2.3301951383634769,2.5597062164338702,-1.5334930801531272,7.9568875151036025,3.9784437575518012,4.238098056872464,-0.25965429932066275,-2.5415467716617968e-05,3.8636882185166042
12,M0288_N40_kappa0_pi0p990_seed3,288,0,0.98999999999999999,3,12,14,48,0.8481601691355477,nm^-1,2.4992012113483155,1.8121699503915814,-1.6916865501577174,7.6947442620553321,3.8473721310276661,3.6574413467582474,0.18993078426941867,-7.7162603495469734e-06,4.1908877615060334
12,M0288_N40_kappa0_pi0p990_seed3,288,0,0.98999999999999999,3,13,16,6,0.90672136057527364,nm^-1,1.2235747610377692,2.43458706938618,-1.3406657355708669,6.3394933015656827,3.1697466507828413,3.5738981499593643,-0.40415149917652293,-3.3296655765402918e-05,2.5642404966086358
12,M0288_N40_kappa0_pi0p990_seed3,288,0,0.98999999999999999,3,14,17,48,0.93462698566390245,nm^-1,2.3703126743456444,2.5843873772221988,-2.069698928074609,9.0940979077170603,4.5470489538585301,4.6962427603091985,-0.14919380645066838,-7.2393885763985965e-06,4.4400116024202534
12,M0288_N40_kappa0_pi0p990_seed3,288,0,0.98999999999999999,3,15,18,36,0.9617232340642029,nm^-1,2.7742955397295757,2.6469861081980275,-2.2943625366026743,10.010006721132951,5.0050033605664757,4.8344569040989516,0.17054645646752409,1.7156833928872764e-05,5.06865807633225
12,M0288_N40_kappa0_pi0p990_seed3,288,0,0.98999999999999999,3,16,19,24,0.98807669517433072,nm^-1,4.4737141424479834,4.1723164954505556,-3.982619838595336,16.611270315089211,8.3056351575446055,7.6907466500755195,0.61488850746908597,3.9430211915305155e-05,8.4563339810433185
12,M0288_N40_kappa0_pi0p990_seed3,288,0,0.98999999999999999,3,17,20,24,1.0137452994487048,nm^-1,2.4478971462029544,2.7341788664370226,-2.2981784060428021,9.7784328247255807,4.8892164123627904,4.084605289086193,0.80461112327659734,0.00011290711466287839,4.7460755522457561
12,M0288_N40_kappa0_pi0p990_seed3,288,0,0.98999999999999999,3,18,21,48,1.0387798172673848,nm^-1,3.9275161329870114,3.3593468867403606,-3.2511751292195781,13.789213278166528,6.8946066390832641,6.7501142203522821,0.14449241873098195,-0.0001466081546207868,7.1786912622065895
12,M0288_N40_kappa0_pi0p990_seed3,288,0,0.98999999999999999,3,19,22,24,1.0632250398527014,nm^-1,2.3644656825181007,2.948337508128136,-2.3023615264422803,9.9175262435307978,4.9587631217653989,4.6416066679978352,0.31715645376756374,-6.1428887283909901e-05,4.6668272089603811
12,M0288_N40_kappa0_pi0p990_seed3,288,0,0.98999999999999999,3,20,24,24,1.11050233614577,nm^-1,2.6393961810892095,2.8375690755720013,-2.4638835482401111,10.404732353141432,5.2023661765707159,5.2797257643917082,-0.077359587820992282,1.9388791276456777e-05,5.1032797293293211
12,M0288_N40_kappa0_pi0p990_seed3,288,0,0.98999999999999999,3,21,25,30,1.133401700719092,nm^-1,3.8949101955604291,3.4356966077087363,-3.4289304854894964,14.188467774248156,7.0942338871240782,9.0319769417753228,-1.9377430546512446,-0.0002337209453676036,7.3238406810499255
12,M0288_N40_kappa0_pi0p990_seed3,288,0,0.98999999999999999,3,22,26,72,1.1558474777411798,nm^-1,2.3525060247624086,2.5708549345081417,-2.1840810929766605,9.2915231452238736,4.6457615726119368,4.4610264957309633,0.18473507688097346,4.5530394804934987e-06,4.5365871177390691
