N,kappa,pi,seed,contrast,SAA,k_star_c,E,Rg
24,1.0,0.9,2,0.009426093407917977,0.0112116610592455,0.8513801229240632,-15186.037576198578,2.097105243234159
24,1.0,0.9,3,0.008738223473871582,0.011411175140480874,0.8513801229240632,-15492.40924167633,2.135917024408163
24,1.0,0.9,4,0.010237552417780798,0.01113459771312027,0.8513801229240632,-15839.803624153135,2.1763910764917083
32,0.0,0.99,1,0.003000748127135683,0.006949138547287642,1.392138546642449,-17710.546850204468,2.4406042163361414
32,0.0,0.99,2,0.0036609334793443237,0.005386121927240117,1.392138546642449,-17786.310928344727,2.379719412263883
32,0.0,0.99,3,0.0032582948563139387,0.006879435337872339,1.392138546642449,-17448.822019577026,2.307414700864677
32,0.0,0.99,4,0.002950812331646021,0.004732960333951973,1.0827744251663491,-17685.499042510986,2.383477504112362
32,0.0,0.9,1,0.0031142820180806844,0.00590352955753967,1.0827744251663491,-17676.09443473816,2.4370047680893303
32,0.0,0.9,2,0.003493612560389301,0.00440817672724391,1.392138546642449,-17786.851923942566,2.369940298083593
32,0.0,0.9,3,0.002744688918583771,0.006775651215440546,1.392138546642449,-17296.684911727905,2.2856008170740676
32,0.0,0.9,4,0.002886913486763589,0.004812204475414239,1.392138546642449,-17862.821751117706,2.3925998873229393
32,0.3,0.99,1,0.004857556973902583,0.0072539001192315575,0.7734103036902493,-18342.754802703857,2.3991405885217283
32,0.3,0.99,2,0.004497745723866073,0.007042853626704556,1.0827744251663491,-18063.33158969879,2.3716570908340544
32,0.3,0.99,3,0.0038247036486741335,0.00805171629381557,1.0827744251663491,-18122.28174972534,2.2992829315341776
32,0.3,0.99,4,0.0033465739347286385,0.004850286187018324,1.392138546642449,-18164.804109573364,2.3701120138151826
32,0.3,0.9,1,0.0037966619613101563,0.00572251789103027,1.0827744251663491,-17924.93474006653,2.4163063308899067
32,0.3,0.9,2,0.004227763131833166,0.0066541680192011956,1.0827744251663491,-18069.306675434113,2.3729946404116524
32,0.3,0.9,3,0.003405999503624672,0.007274384417206925,1.0827744251663491,-17613.231833457947,2.325663554899284
32,0.3,0.9,4,0.003219991964979103,0.0059684840545218025,1.392138546642449,-17820.695831775665,2.372691138794246
32,0.6,0.99,1,0.008621856916647444,0.009896010266149897,0.7734103036902493,-19055.925340652462,2.3736045074305925
32,0.6,0.99,2,0.006845197591905913,0.00886497838420314,1.0827744251663491,-18965.78620672226,2.3310192509663983
32,0.6,0.99,3,0.009243505830328671,0.011064707054356065,0.7734103036902493,-18866.438222885132,2.2960158907054105
32,0.6,0.99,4,0.006064654081075695,0.005663458944723988,1.0827744251663491,-19229.476097106937,2.321077153216504
32,0.6,0.9,1,0.00649520214443294,0.008044714738632686,1.0827744251663491,-18866.511415481567,2.4051985758266543
32,0.6,0.9,2,0.006279688230227353,0.006833850415244318,1.0827744251663491,-18658.60107946396,2.4067228898817583
32,0.6,0.9,3,0.005126923599077166,0.008007338209632616,0.7734103036902493,-18334.111934661865,2.3650164172687553
32,0.6,0.9,4,0.005045297907947192,0.005418939599379261,1.0827744251663491,-18760.45018196106,2.3994668058618904
32,0.9,0.99,1,0.020318667285447782,0.01603293498280734,0.7734103036902493,-20692.523529052734,2.329146265263292
32,0.9,0.99,2,0.016657587745859015,0.011946199696528164,0.7734103036902493,-20848.64649772644,2.30516192082224
32,0.9,0.99,3,0.021896680473821647,0.016956062577887697,0.7734103036902493,-20883.962770462036,2.2722102001403175
32,0.9,0.99,4,0.014983826773775697,0.010225027102616496,0.7734103036902493,-21123.471720695496,2.332241634407586
32,0.9,0.9,1,0.012190995080974522,0.01067377690295528,0.7734103036902493,-19651.614694595337,2.4583159866257787
32,0.9,0.9,2,0.01294533935187978,0.011530020075015338,0.7734103036902493,-19728.239258766174,2.4145956040651804
32,0.9,0.9,3,0.013683307358078165,0.01172834246365813,0.7734103036902493,-20020.195811271667,2.3753595777150345
32,0.9,0.9,4,0.0092473613457607,0.007783087005189536,0.7734103036902493,-19929.47651863098,2.3939358190363524
32,1.0,0.99,1,0.02214275666940574,0.015364723202060279,0.7734103036902493,-22349.115646362305,2.2223875116004814
32,1.0,0.99,2,0.02178471222312626,0.012560035864480729,0.7734103036902493,-22716.92292690277,2.284935697765185
32,1.0,0.99,3,0.02606784544699968,0.01692198608342942,0.7734103036902493,-21671.061051487923,2.2388856287536765
