L,rho,kappa,eps,seed,contrast,SAA,k_star_c,E,Rg
28.0,0.26239067055393583,1.0,0.02,1,0.04977056182844837,0.061364870874626345,0.7853981633974483,-23813.95277786255,2.4317754867520165
28.0,0.26239067055393583,1.0,0.02,2,0.0562717766343062,0.08348350115619058,0.5609986881410345,-23779.413818359375,2.3611766783759167
28.0,0.26239067055393583,1.0,0.02,3,0.048392628054650354,0.06260499471619375,0.7853981633974483,-23919.61629295349,2.3279625308226004
28.0,0.26239067055393583,1.0,0.05,1,0.05150268363024665,0.0648586812125503,0.7853981633974483,-23853.307331085205,2.448524424940469
28.0,0.26239067055393583,1.0,0.05,2,0.05807689316173873,0.08577447428335061,0.5609986881410345,-23872.440965652462,2.362390857541916
28.0,0.26239067055393583,1.0,0.05,3,0.045577981950611655,0.07746706202703413,0.7853981633974483,-23479.44174957275,2.362490011600395
28.0,0.26239067055393583,1.0,0.1,1,0.04980254398854797,0.06264766880827867,0.7853981633974483,-23909.58042526245,2.398327942242016
28.0,0.26239067055393583,1.0,0.1,2,0.054268083481416686,0.08756527671681233,0.5609986881410345,-24486.54372024536,2.366820542478187
28.0,0.26239067055393583,1.0,0.1,3,0.0485129340840602,0.06588025429646749,0.7853981633974483,-23817.12410736084,2.370177198388797
28.0,0.26239067055393583,1.0,0.2,1,0.041784283344286334,0.05605539215912923,0.7853981633974483,-24246.086864471436,2.4091661332127368
28.0,0.26239067055393583,1.0,0.2,2,0.04830840229398868,0.0862338380341002,0.5609986881410345,-24486.552738189697,2.352494671685081
28.0,0.26239067055393583,1.0,0.2,3,0.03346381487682452,0.07094988885394972,0.7853981633974483,-23799.667863845825,2.3222041675113285
36.0,0.12345679012345678,0.0,0.005,1,0.01974820757272633,0.1745626867239965,0.6108652381980153,-20003.28940582275,1.8626550393604615
36.0,0.12345679012345678,0.0,0.005,2,0.014276924910785695,0.14015584122659272,1.308996938995747,-20898.73145675659,1.865781799950197
36.0,0.12345679012345678,0.0,0.005,3,0.012807798324678182,0.1527629711473269,1.1344640137963142,-19296.164916992188,1.8158921204834253
36.0,0.12345679012345678,0.0,0.02,1,0.02135051963815016,0.1139976322676084,1.308996938995747,-19989.539516448975,2.013761483637646
36.0,0.12345679012345678,0.0,0.02,2,0.01869046430054357,0.10490629401750211,1.1344640137963142,-19938.923582077023,1.9918161380655068
36.0,0.12345679012345678,0.0,0.02,3,0.017111825725076153,0.12868557755162507,1.4835298641951802,-19034.274196624756,1.923554284583813
36.0,0.12345679012345678,0.0,0.05,1,0.018649771775987603,0.11738408578057283,1.4835298641951802,-19272.839294433594,2.0185815690706588
36.0,0.12345679012345678,0.0,0.05,2,0.019943126331897508,0.09936052026672801,1.308996938995747,-19829.423587799072,1.986612897655759
36.0,0.12345679012345678,0.0,0.05,3,0.019080033979803002,0.12496898136685261,1.308996938995747,-19107.67407989502,1.979481353705025
36.0,0.12345679012345678,0.0,0.1,1,0.018656962947461372,0.12174630274592169,0.6108652381980153,-19617.212871551514,2.062337640413242
36.0,0.12345679012345678,0.0,0.1,2,0.019114048245318323,0.11352902070615996,1.4835298641951802,-20039.01417160034,2.0366738412693968
36.0,0.12345679012345678,0.0,0.1,3,0.017802103036363814,0.13417271696754796,1.4835298641951802,-19138.759349823,1.9901718401565955
36.0,0.12345679012345678,0.0,0.2,1,0.016695109708752553,0.11532299485932389,1.308996938995747,-20178.820526123047,2.0326110862240014
36.0,0.12345679012345678,0.0,0.2,2,0.01757303572313514,0.1175196579999842,1.4835298641951802,-20247.94828414917,2.0248942011515876
