L,kappa,seed,contrast,SAA,E
36.0,0.3,1,0.024566488860450507,0.11371756772005574,-19831.680252075195
36.0,0.3,2,0.02286311769104383,0.105091432330322,-20513.00213241577
36.0,0.3,3,0.023967892947860166,0.13234365097303719,-19696.839756011963
36.0,0.3,4,0.020290886992774784,0.1178340432306432,-20196.55442428589
36.0,0.5,1,0.03354066393696626,0.11308417941758675,-20953.09812927246
36.0,0.5,2,0.03144676532337299,0.12493425709974551,-20829.97914505005
36.0,0.5,3,0.029028399231073015,0.12572655289551485,-20030.236530303955
36.0,0.5,4,0.02883654336703593,0.13056784095536209,-20666.73971939087
36.0,0.7,1,0.04693804565669391,0.11954208679833053,-22175.819721221924
36.0,0.7,2,0.04486216670946564,0.12699876196883306,-21368.72184371948
36.0,0.7,3,0.05056518742684895,0.13927501473881412,-20879.07608795166
36.0,0.7,4,0.037230101271103475,0.10098763342319605,-21634.81681060791
36.0,0.9,1,0.09410321150428448,0.11935256816541842,-23236.47519493103
36.0,0.9,2,0.0804812207508607,0.14568212386234036,-22415.900665283203
36.0,0.9,3,0.07835398656085038,0.17241375229357875,-21692.41600990295
36.0,0.9,4,0.0603310759697923,0.12232539103759943,-21881.849880218502
36.0,1.0,1,0.09337571276968877,0.13296188076562135,-23363.331439971924
36.0,1.0,2,0.10097154738641206,0.1661473276566707,-22816.305946350098
36.0,1.0,3,0.07149251021614678,0.1382806859903962,-21862.5178232193
36.0,1.0,4,0.07080459487492968,0.10579551322243448,-22539.56799507141
